Jarnac Version 3.33b Interactive Mode [Build Date: 27 February 2014, 21:11:26] 
Trial 1 
Name,Load_time,Run_time,Total_time 
jana_wolf_fixed2,    0.015,        1,    1.015 
biomod14,    0.297,    2.265,    2.562 
biomod33,    0.032,    0.171,    0.203 
00001,    0.016,    0.015,    0.031 
00002,    0.015,    0.016,    0.031 
00050,    0.125,    2.469,    2.594 
00100,    0.297,   12.734,   13.031 
00150,    0.531,   35.531,   36.062 
00200,    0.859,   76.688,   77.547 
00250,    1.219,  142.297,  143.516 
00300,    1.672,  245.094,  246.766 
00350,    2.172,  378.562,  380.734 
00400,    2.828,  541.953,  544.781 
00450,    3.422,  764.859,  768.281 
00500,    4.297,  1030.09,  1034.39 
Trial 2 
Name,Load_time,Run_time,Total_time 
jana_wolf_fixed2,        0,    0.984,    0.984 
biomod14,    0.281,    2.282,    2.563 
biomod33,    0.032,    0.171,    0.203 
00001,        0,    0.015,    0.015 
00002,        0,    0.032,    0.032 
00050,     0.14,    2.469,    2.609 
00100,    0.296,   12.688,   12.984 
00150,    0.532,   35.578,    36.11 
00200,    0.828,   76.672,     77.5 
00250,    1.234,  142.203,  143.437 
00300,    1.719,  245.391,   247.11 
00350,    2.172,  366.391,  368.563 
00400,    2.813,  551.797,   554.61 
00450,    3.391,  747.922,  751.313 
00500,    4.187,  1014.83,  1019.02 
Trial 3 
Name,Load_time,Run_time,Total_time 
jana_wolf_fixed2,        0,        1,        1 
biomod14,    0.265,    2.282,    2.547 
biomod33,    0.031,    0.188,    0.219 
00001,    0.015,    0.016,    0.031 
00002,    0.016,    0.016,    0.032 
00050,    0.125,    2.484,    2.609 
00100,    0.297,    12.64,   12.937 
00150,    0.531,   35.516,   36.047 
00200,    0.844,   76.781,   77.625 
00250,    1.219,  142.718,  143.937 
00300,    1.672,  245.531,  247.203 
00350,    2.219,   378.89,  381.109 
00400,    2.828,    537.5,  540.328
